Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Word_Count,Opportunity_Score
praveen gupta neurologist,INR,1600,23%,122%,Low,6.0,1.4,19.85,,,,,,880,1000,1600,1600,1600,2400,1900,1900,1900,1300,1300,1600,3,228.57142857142858
apollo hospital new delhi,INR,1600,-19%,-19%,Low,7.0,7.94,45.95,,,,,,1300,1600,1600,1600,1300,1300,1600,1900,1600,1600,1300,1300,4,200.0
dr aditya gupta,INR,1600,0%,82%,Low,10.0,6.07,15.74,,,,,,1000,880,1000,1000,1600,1600,1600,1900,1600,1600,1600,1600,3,145.45454545454547
apollo bangalore bannerghatta,INR,1600,23%,0%,Low,18.0,81.48,761.11,,,,,,1600,1900,1600,1600,1600,1600,1600,1300,1300,1300,1300,1600,3,84.21052631578948
apollo bangalore bannerghatta road,INR,1600,23%,0%,Low,18.0,81.48,761.11,,,,,,1600,1900,1600,1600,1600,1600,1600,1300,1300,1300,1300,1600,4,84.21052631578948
doctor kuldeep singh,INR,1300,0%,30%,Low,1.0,1.71,10.23,,,,,,1000,1000,1000,1300,1300,1000,1300,1300,1300,1300,1000,1300,3,650.0
delhi famous hospital,INR,1300,0%,0%,Low,2.0,11.28,46.52,,,,,,1300,1300,1300,1300,1300,1600,1600,1600,1600,1300,1300,1300,3,433.3333333333333
dr neera bhan,INR,1300,0%,0%,Low,3.0,18.07,42.20,,,,,,1000,1000,1300,1300,1300,1300,1000,1600,1300,1000,1300,1000,3,325.0
kokilaben hospital price list,INR,1300,-28%,-55%,Low,4.0,18.45,68.27,,,,,,1600,1300,1600,1600,1600,1600,1600,1600,1300,1000,880,720,4,260.0
dr dheeraj kapoor,INR,1300,-12%,22%,Low,5.0,12.27,30.69,,,,,,1000,720,880,880,1000,1000,3600,1600,1000,1000,880,880,3,216.66666666666666
delhi top ten hospital,INR,1300,60%,82%,Low,6.0,11.93,59.76,,,,,,1300,1000,1000,1300,1000,1300,1300,1300,1600,1000,1300,1600,4,185.71428571428572
top 10 hospital in delhi ncr,INR,1300,60%,82%,Low,6.0,11.93,59.76,,,,,,1300,1000,1000,1300,1000,1300,1300,1300,1600,1000,1300,1600,6,185.71428571428572
dr praveen chandra,INR,1300,23%,60%,Low,7.0,1.26,37.37,,,,,,1000,1000,1000,1000,1000,1000,1300,1600,1600,1300,1900,1600,3,162.5
doctor praveen chandra,INR,1300,23%,60%,Low,7.0,1.26,37.37,,,,,,1000,1000,1000,1000,1000,1000,1300,1600,1600,1300,1900,1600,3,162.5
doctor anil bhan,INR,1300,60%,23%,Low,8.0,1.16,39.05,,,,,,1300,1300,1300,1600,2400,1300,1600,1300,1300,1000,1300,1600,3,144.44444444444446
dr anil bhan,INR,1300,60%,23%,Low,8.0,1.16,39.05,,,,,,1300,1300,1300,1600,2400,1300,1600,1300,1300,1000,1300,1600,3,144.44444444444446
dr vinod raina,INR,1300,23%,60%,Low,10.0,9.07,30.56,,,,,,1300,1000,1300,1300,1300,1300,1300,1600,1600,1300,1600,1600,3,118.18181818181819
dr hitesh garg,INR,1300,0%,48%,Low,13.0,7.04,20.99,,,,,,880,1000,1000,1000,880,880,1600,1600,1600,1300,1300,1300,3,92.85714285714286
dr jayant arora,INR,1300,0%,0%,Low,19.0,3.46,30.54,,,,,,1000,1300,1600,1300,1300,1300,1300,1300,1000,1300,1300,1300,3,65.0
dr rahul bhargava,INR,1300,46%,90%,Low,26.0,8.05,57.94,,,,,,1300,1300,1300,1300,1300,1000,1300,1300,1300,1300,1000,1900,3,48.148148148148145
fortis gurgaon appointment,INR,1300,0%,0%,Medium,35.0,19.97,71.75,,,,,,880,1000,1300,1600,1000,1300,1300,1300,1300,1000,1000,1000,3,36.111111111111114
apollo delhi address,INR,1000,0%,-12%,Low,2.0,5.04,18.78,,,,,,1000,1000,1300,1000,880,880,1000,1300,1000,880,880,880,3,333.3333333333333
doctor rajeev verma,INR,1000,-12%,0%,Low,4.0,8.04,19.44,,,,,,880,720,1000,1000,1000,1000,1000,1000,1000,1000,880,880,3,200.0
dr meenakshi sundaram chennai,INR,1000,0%,14%,Low,6.0,3.87,43.04,,,,,,880,880,1000,1000,880,880,1000,1000,880,1000,1000,1000,4,142.85714285714286
doctor adarsh chaudhary,INR,1000,0%,0%,Low,7.0,1.6,43.29,,,,,,880,720,1000,1000,1000,1000,1000,1000,1000,880,1000,880,3,125.0
dr adarsh choudhary,INR,1000,0%,0%,Low,7.0,1.6,43.29,,,,,,880,720,1000,1000,1000,1000,1000,1000,1000,880,1000,880,3,125.0
dr balamurugan chennai,INR,1000,0%,0%,Low,9.0,5.64,174.24,,,,,,720,880,3600,880,880,880,1000,880,880,880,1000,880,3,100.0
max saket new delhi,INR,1000,0%,39%,Low,12.0,4.72,46.27,,,,,,880,880,1000,1000,1000,1000,1300,1300,1000,1000,1300,1000,4,76.92307692307692
dr apollo hospital,INR,1000,-12%,0%,Low,13.0,16.28,282.12,,,,,,1000,880,1000,1000,1000,1000,1000,1300,1300,1000,1000,880,3,71.42857142857143
max hospital new delhi,INR,1000,-18%,-18%,Low,14.0,10.19,51.90,,,,,,880,880,1300,880,1000,1000,1300,1000,1000,880,880,720,4,66.66666666666667
doctor sumit singh,INR,1000,0%,69%,Low,16.0,8.55,25.51,,,,,,720,720,880,880,880,880,1000,1300,1300,1000,1000,1000,3,58.8235294117647
apollo chennai greams road,INR,1000,-28%,-45%,Low,32.0,21.17,549.49,,,,,,880,720,1000,1000,1000,880,1300,1300,1000,1000,880,720,4,30.303030303030305
doctor avtar singh,INR,880,22%,0%,Low,4.0,6.41,12.32,,,,,,1000,880,880,880,720,880,880,880,880,720,720,880,3,176.0
dr hs chhabra,INR,880,22%,22%,Low,5.0,0.69,32.45,,,,,,720,720,880,880,880,880,880,880,880,720,1000,880,3,146.66666666666666
gurugram medanta hospital,INR,880,22%,22%,Low,5.0,2.75,32.49,,,,,,720,880,720,880,720,720,720,880,880,720,880,880,3,146.66666666666666
devi shetty hospital,INR,880,0%,0%,Low,7.0,18.93,50.44,,,,,,880,1000,1000,880,880,1000,1300,1000,880,880,1000,880,3,110.0
apollo hospital cardiology doctors list,INR,880,-33%,-33%,Low,7.0,11.96,63.67,,,,,,880,880,1000,1000,1000,880,1000,880,880,880,720,590,5,110.0
debi sethi hospital,INR,880,0%,0%,Low,7.0,18.93,50.44,,,,,,880,1000,1000,880,880,1000,1300,1000,880,880,1000,880,3,110.0
dr rajesh puri,INR,880,0%,-18%,Low,10.0,2.5,37.96,,,,,,720,720,880,880,880,880,880,880,880,720,720,720,3,80.0
dr aparna jaswal,INR,880,-12%,0%,Low,11.0,6.3,30.55,,,,,,880,880,1000,1000,880,880,1000,1000,880,1000,720,880,3,73.33333333333333
dr naresh trehan fees,INR,880,0%,-45%,Low,12.0,23.64,61.95,,,,,,1000,1300,1300,880,720,880,880,880,880,720,880,720,4,67.6923076923077
hospital for cardiology,INR,880,22%,-18%,Low,15.0,25.13,101.82,,,,,,880,1000,1000,880,880,880,880,880,1000,590,720,720,3,55.0
dr chandrashekar p,INR,880,14%,69%,Low,16.0,14.6,101.21,,,,,,880,880,880,1000,1000,1300,1000,720,590,880,1000,1000,3,51.76470588235294
apollo hospital cardiologist,INR,880,39%,39%,Low,17.0,18.18,128.90,,,,,,720,880,720,720,880,880,1000,1000,880,720,720,1000,3,48.888888888888886
dr subhash jangid,INR,880,0%,49%,Low,17.0,6.11,30.51,,,,,,590,880,1000,880,1000,1000,1000,1000,1000,880,880,880,3,48.888888888888886
dr narasimhan r,INR,880,14%,39%,Low,18.0,11.56,250.85,,,,,,880,880,880,720,880,720,1000,720,880,880,1000,1000,3,46.31578947368421
dr bose chennai,INR,880,22%,22%,Low,20.0,5.89,25.02,,,,,,880,720,880,720,1000,1000,880,880,880,720,720,880,3,41.904761904761905
dr vijay bose,INR,880,22%,22%,Low,20.0,5.89,25.02,,,,,,880,720,880,720,1000,1000,880,880,880,720,720,880,3,41.904761904761905
dr vijay bose chennai,INR,880,22%,22%,Low,20.0,5.89,25.02,,,,,,880,720,880,720,1000,1000,880,880,880,720,720,880,4,41.904761904761905
kokilaben hospital phone number,INR,720,22%,83%,Low,0.0,23.61,52.21,,,,,,720,880,880,880,880,720,880,590,880,720,720,880,4,720.0
doctor vp singh,INR,720,22%,0%,Low,1.0,1.71,3.88,,,,,,720,880,880,880,720,880,720,720,880,590,590,720,3,360.0
dr suneeta mittal,INR,720,39%,213%,Low,2.0,7.17,31.26,,,,,,480,480,590,590,590,480,590,720,1000,720,1300,1000,3,240.0
dr sunita mittal,INR,720,39%,213%,Low,2.0,7.17,31.26,,,,,,480,480,590,590,590,480,590,720,1000,720,1300,1000,3,240.0
kokilaben hospital address in andheri,INR,720,0%,-18%,Low,2.0,5.19,26.23,,,,,,880,720,720,720,720,720,720,720,590,590,590,590,5,240.0
kokilaben hospital address in mumbai,INR,720,0%,-18%,Low,2.0,5.19,26.23,,,,,,880,720,720,720,720,720,720,720,590,590,590,590,5,240.0
dr raman kant aggarwal,INR,720,49%,83%,Low,5.0,0.83,3.50,,,,,,590,590,880,880,1000,720,880,880,720,590,720,880,4,120.0
dr priyadarshi ranjan,INR,720,22%,125%,Low,6.0,1.38,42.16,,,,,,260,260,390,390,1300,1000,880,880,720,590,590,720,3,102.85714285714286
narayana dharamshila hospital,INR,720,0%,0%,Low,8.0,0.85,45.22,,,,,,590,480,590,480,720,720,720,720,880,720,720,720,3,80.0
medanta medicity gurugram,INR,720,-18%,84%,Low,8.0,3.73,53.73,,,,,,140,480,880,720,590,260,880,720,880,720,880,590,3,80.0
dr mukul verma,INR,720,-18%,22%,Low,9.0,1.43,16.46,,,,,,880,590,720,720,720,720,880,880,880,880,720,720,3,72.0
dr hari goyal,INR,720,49%,49%,Low,14.0,9.3,29.46,,,,,,590,590,720,720,880,720,880,720,720,590,590,880,3,48.0
fortis gurgaon hospital,INR,720,-28%,0%,Low,15.0,1.58,33.66,,,,,,590,590,590,720,720,720,480,390,590,1000,720,720,3,45.0
dr manoj padman,INR,720,0%,51%,Low,15.0,5.74,30.48,,,,,,590,590,720,720,720,720,880,720,880,590,720,590,3,45.0
hospital fortis gurgaon,INR,720,-28%,0%,Low,15.0,1.58,33.66,,,,,,590,590,590,720,720,720,480,390,590,1000,720,720,3,45.0
dr kalyan kar,INR,720,0%,0%,Low,16.0,1.27,39.63,,,,,,720,720,720,720,880,880,880,1000,720,590,590,590,3,42.35294117647059
best heart hospitals,INR,720,0%,0%,Low,18.0,21.03,94.41,,,,,,720,720,880,720,720,720,720,720,880,590,590,590,3,37.89473684210526
dr gurinder bedi,INR,720,-18%,0%,Low,19.0,12.27,51.24,,,,,,590,590,880,720,720,720,720,880,720,720,590,590,3,36.0
medicity hospital gurgaon,INR,720,0%,-33%,Low,20.0,6.61,49.81,,,,,,720,880,880,720,720,720,720,720,720,480,480,480,3,34.285714285714285
max healthcare saket,INR,720,22%,22%,Low,20.0,10.26,73.44,,,,,,590,590,880,720,880,720,880,720,720,590,590,720,3,34.285714285714285
dr robert mao,INR,720,-33%,0%,Low,20.0,7.16,224.65,,,,,,720,590,720,880,720,880,880,880,720,880,720,590,3,34.285714285714285
dr deepak dubey,INR,720,0%,0%,Low,20.0,12.83,53.27,,,,,,720,590,590,590,720,590,880,720,590,720,590,720,3,34.285714285714285
doctor robert mao,INR,720,-33%,0%,Low,20.0,7.16,224.65,,,,,,720,590,720,880,720,880,880,880,720,880,720,590,3,34.285714285714285
heart spl hospital,INR,720,0%,0%,Low,20.0,18.7,100.47,,,,,,720,720,720,720,590,590,880,720,720,590,590,590,3,34.285714285714285
dr sumana manohar,INR,720,-18%,-18%,Low,28.0,10.34,276.95,,,,,,720,720,880,720,880,880,1000,720,720,720,720,590,3,24.82758620689655
dr raj vigna venugopal,INR,720,-18%,0%,Low,29.0,9.5,66.83,,,,,,720,590,880,880,590,720,720,590,480,720,590,590,4,24.0
raj vigna venugopal,INR,720,-18%,0%,Low,29.0,9.5,66.83,,,,,,720,590,880,880,590,720,720,590,480,720,590,590,3,24.0
dr balbir singh cardiologist,INR,720,-45%,23%,Medium,34.0,13.23,55.24,,,,,,480,720,590,880,1000,880,880,590,590,880,590,480,4,20.571428571428573
batra hospital doctor list,INR,590,-19%,-46%,Low,1.0,0.49,17.23,,,,,,720,590,720,590,590,590,720,720,720,480,390,390,4,295.0
doctor himanshu verma,INR,590,50%,85%,Low,1.0,22.83,86.45,,,,,,320,480,390,480,590,590,590,720,590,480,590,720,3,295.0
dr kalidutta das,INR,590,0%,51%,Low,2.0,21.12,48.86,,,,,,390,390,590,480,590,720,720,590,590,590,480,590,3,196.66666666666666
world's best heart surgeon,INR,590,0%,-33%,Low,3.0,21.1,120.31,,,,,,720,590,590,720,590,590,720,720,590,480,480,480,4,147.5
max hospital saket dr list,INR,590,0%,-19%,Low,3.0,3.49,19.80,,,,,,480,480,590,590,590,720,720,720,480,390,390,390,5,147.5
medanta hospital doctor fees,INR,590,0%,-34%,Low,4.0,13.63,32.50,,,,,,590,480,590,590,720,720,590,590,590,390,390,390,4,118.0
dr abhra chowdhury,INR,590,30%,2500%,Low,5.0,2.33,8.06,,,,,,50,50,90,140,110,90,480,1300,1000,1000,1000,1300,3,98.33333333333333
dr priya tiwari,INR,590,171%,233%,Low,5.0,6.54,30.27,,,,,,480,390,480,480,590,720,720,590,590,480,590,1300,3,98.33333333333333
dharamshila hospital doctors list,INR,590,-18%,-64%,Low,6.0,3.35,23.51,,,,,,720,880,880,720,720,720,720,590,590,390,320,320,4,84.28571428571429
dr rajneesh kapoor,INR,590,23%,23%,Low,6.0,2.66,33.71,,,,,,480,590,720,590,590,590,590,590,590,480,480,590,3,84.28571428571429
dr mukul rastogi,INR,590,0%,84%,Low,6.0,2.06,20.37,,,,,,390,390,480,480,590,720,720,720,880,590,480,590,3,84.28571428571429
the medicity gurgaon,INR,590,23%,0%,Low,6.0,20.14,46.34,,,,,,590,480,720,720,480,480,590,590,590,480,590,590,3,84.28571428571429
dr manoj miglani,INR,590,-19%,0%,Low,7.0,50.38,50.93,,,,,,390,480,590,590,720,590,590,720,590,590,590,480,3,73.75
dr pankaj puri,INR,590,-19%,23%,Low,7.0,30.37,30.61,,,,,,480,480,480,590,590,480,590,590,880,590,390,480,3,73.75
max hospital saket address,INR,590,0%,23%,Low,7.0,8.83,41.22,,,,,,480,390,720,590,720,720,720,720,720,590,590,590,4,73.75
max saket address,INR,590,0%,23%,Low,7.0,8.83,41.22,,,,,,480,390,720,590,720,720,720,720,720,590,590,590,3,73.75
dr atul mathur,INR,590,0%,-33%,Low,8.0,30.36,58.85,,,,,,720,590,720,590,720,590,720,590,590,480,480,480,3,65.55555555555556
yashoda hospital branches in hyderabad,INR,590,-19%,-19%,Low,10.0,23.67,45.77,,,,,,590,590,720,590,590,590,590,590,480,480,390,390,5,53.63636363636363
dr trehan medanta,INR,590,0%,-33%,Low,11.0,22.17,55.46,,,,,,880,720,720,590,590,480,590,720,590,480,590,480,3,49.166666666666664
best heart doctor in india,INR,590,-19%,-19%,Low,12.0,14.07,40.46,,,,,,590,480,590,590,590,590,720,590,720,590,590,480,5,45.38461538461539
dr sk rajan,INR,590,-19%,23%,Low,13.0,7.79,21.62,,,,,,390,390,480,480,590,590,480,720,720,590,590,480,3,42.142857142857146
dr gourdas choudhuri,INR,590,0%,84%,Low,14.0,15.07,32.83,,,,,,320,390,480,720,590,720,880,880,880,590,590,590,3,39.333333333333336
dr mohinish chhabra,INR,590,-18%,-33%,Low,14.0,9.87,25.45,,,,,,720,590,590,590,590,720,720,480,480,390,320,320,3,39.333333333333336
dr nitin behl,INR,590,0%,-34%,Low,15.0,6.79,30.58,,,,,,720,720,1300,1000,480,590,480,480,480,390,390,390,3,36.875
dr vedant kabra,INR,590,0%,0%,Low,15.0,6.24,16.74,,,,,,590,480,390,590,590,590,590,590,480,480,590,480,3,36.875
dr devi shetty appointment in kolkata,INR,590,-19%,-19%,Low,18.0,16.79,40.22,,,,,,590,590,720,590,480,480,720,590,390,480,390,390,6,31.05263157894737
dr deepak sarin,INR,590,0%,23%,Low,18.0,18.08,62.15,,,,,,390,390,480,590,590,590,720,720,720,590,590,590,3,31.05263157894737
